beta0,nu2,x_ini,logpost,chi2_total,chi2_sn,chi2_bao,Omega_V0,z_eq,z_t,f_TUO_zstar,r_d_Mpc,z_drag,chain
0.0275890975828837,0.04763978902012092,0.10698508687883504,-720.728801079954,1411.5741571720973,1390.4096591472626,21.16449802483472,0.7003490225315283,3259.8690434431683,0.6724892017031545,0.0001756253147698322,149.15702137665983,1020.8749338611531,1
0.0275890975828837,0.04763978902012092,0.10698508687883504,-720.728801079954,1411.5741571720973,1390.4096591472626,21.16449802483472,0.7003490225315283,3259.8690434431683,0.6724892017031545,0.0001756253147698322,149.15702137665983,1020.8749338611531,1
0.0275890975828837,0.04763978902012092,0.10698508687883504,-720.728801079954,1411.5741571720973,1390.4096591472626,21.16449802483472,0.7003490225315283,3259.8690434431683,0.6724892017031545,0.0001756253147698322,149.15702137665983,1020.8749338611531,1
0.0275890975828837,0.04763978902012092,0.10698508687883504,-720.728801079954,1411.5741571720973,1390.4096591472626,21.16449802483472,0.7003490225315283,3259.8690434431683,0.6724892017031545,0.0001756253147698322,149.15702137665983,1020.8749338611531,1
0.0275890975828837,0.04763978902012092,0.10698508687883504,-720.728801079954,1411.5741571720973,1390.4096591472626,21.16449802483472,0.7003490225315283,3259.8690434431683,0.6724892017031545,0.0001756253147698322,149.15702137665983,1020.8749338611531,1
0.0275890975828837,0.04763978902012092,0.10698508687883504,-720.728801079954,1411.5741571720973,1390.4096591472626,21.16449802483472,0.7003490225315283,3259.8690434431683,0.6724892017031545,0.0001756253147698322,149.15702137665983,1020.8749338611531,1
0.0275890975828837,0.04763978902012092,0.10698508687883504,-720.728801079954,1411.5741571720973,1390.4096591472626,21.16449802483472,0.7003490225315283,3259.8690434431683,0.6724892017031545,0.0001756253147698322,149.15702137665983,1020.8749338611531,1
0.0275890975828837,0.04763978902012092,0.10698508687883504,-720.728801079954,1411.5741571720973,1390.4096591472626,21.16449802483472,0.7003490225315283,3259.8690434431683,0.6724892017031545,0.0001756253147698322,149.15702137665983,1020.8749338611531,1
0.019373032211241377,0.053414674465134274,0.0538326992250796,-719.1754597723772,1408.4674745569437,1390.3149508535862,18.15252370335754,0.7000943867391769,3259.8690434431683,0.6714558242895322,4.3987061615928245e-05,149.3065626698312,1020.8749338611531,1
0.019373032211241377,0.053414674465134274,0.0538326992250796,-719.1754597723772,1408.4674745569437,1390.3149508535862,18.15252370335754,0.7000943867391769,3259.8690434431683,0.6714558242895322,4.3987061615928245e-05,149.3065626698312,1020.8749338611531,1
0.019373032211241377,0.053414674465134274,0.0538326992250796,-719.1754597723772,1408.4674745569437,1390.3149508535862,18.15252370335754,0.7000943867391769,3259.8690434431683,0.6714558242895322,4.3987061615928245e-05,149.3065626698312,1020.8749338611531,1
0.019373032211241377,0.053414674465134274,0.0538326992250796,-719.1754597723772,1408.4674745569437,1390.3149508535862,18.15252370335754,0.7000943867391769,3259.8690434431683,0.6714558242895322,4.3987061615928245e-05,149.3065626698312,1020.8749338611531,1
0.019373032211241377,0.053414674465134274,0.0538326992250796,-719.1754597723772,1408.4674745569437,1390.3149508535862,18.15252370335754,0.7000943867391769,3259.8690434431683,0.6714558242895322,4.3987061615928245e-05,149.3065626698312,1020.8749338611531,1
0.019373032211241377,0.053414674465134274,0.0538326992250796,-719.1754597723772,1408.4674745569437,1390.3149508535862,18.15252370335754,0.7000943867391769,3259.8690434431683,0.6714558242895322,4.3987061615928245e-05,149.3065626698312,1020.8749338611531,1
0.012289889115277026,0.04949083089996685,0.06938605323045541,-719.1994118968962,1408.5153788059818,1390.2604713961482,18.2549074098335,0.6999905883132563,3259.8690434431683,0.6708604977948972,7.328619144806202e-05,149.27246527374598,1020.8749338611531,1
0.012289889115277026,0.04949083089996685,0.06938605323045541,-719.1994118968962,1408.5153788059818,1390.2604713961482,18.2549074098335,0.6999905883132563,3259.8690434431683,0.6708604977948972,7.328619144806202e-05,149.27246527374598,1020.8749338611531,1
